threshold,fraude_score_maior_igual,bom_score_maior_igual
0.00,1432,15533
0.02,1427,15104
0.04,1412,13896
0.06,1390,11866
0.08,1354,9711
0.10,1313,7615
0.12,1282,5950
0.14,1250,4665
0.16,1224,3776
0.18,1207,3096
0.20,1194,2652
0.22,1185,2310
0.24,1172,2051
0.26,1162,1854
0.28,1154,1682
0.30,1150,1555
0.32,1144,1438
0.34,1137,1325
0.36,1135,1244
0.38,1128,1169
0.40,1123,1097
0.42,1119,1026
0.44,1112,957
0.46,1107,902
0.48,1106,852
0.50,1102,809
0.52,1091,765
0.54,1080,733
0.56,1075,710
0.58,1067,687
0.60,1061,656
0.62,1057,632
0.64,1048,607
0.66,1035,582
0.68,1027,548
0.70,1019,517
0.72,1010,490
0.74,1001,458
0.76,991,416
0.78,980,384
0.80,958,358
0.82,949,329
0.84,935,310
0.86,912,283
0.88,869,254
0.90,841,217
0.92,800,184
0.94,733,154
0.96,638,117
0.98,357,56
1.00,0,0
